date,product_id,actual,baseline_pred,ml_pred
2025-11-01,P01,99,78.85714285714286,87.08606519880587
2025-11-02,P01,88,82.71428571428571,89.6230125240864
2025-11-03,P01,59,81.85714285714286,67.00913488742282
2025-11-04,P01,91,78.85714285714286,65.18038225614258
2025-11-05,P01,90,79.14285714285714,69.33913001862564
2025-11-06,P01,85,81.0,70.07038475082155
2025-11-07,P01,69,83.14285714285714,69.69574055945499
2025-11-08,P01,111,83.0,91.09917380303224
2025-11-09,P01,100,84.71428571428571,94.03764614824165
2025-11-10,P01,74,86.42857142857143,66.92081687778627
2025-11-11,P01,82,88.57142857142857,64.64096239445185
2025-11-12,P01,77,87.28571428571429,66.76584719345188
2025-11-13,P01,80,85.42857142857143,64.75318168009814
2025-11-14,P01,87,84.71428571428571,69.42507932052963
2025-11-15,P01,102,87.28571428571429,96.21524216796273
2025-11-16,P01,66,86.0,94.81333115767667
2025-11-17,P01,69,81.14285714285714,67.32299842686086
2025-11-18,P01,63,80.42857142857143,68.9212019295129
2025-11-19,P01,56,77.71428571428571,66.3846389918057
2025-11-20,P01,90,74.71428571428571,64.36367439850004
2025-11-21,P01,99,76.14285714285714,69.75674730570718
2025-11-22,P01,117,77.85714285714286,93.64001892823941
2025-11-23,P01,93,80.0,90.67819148253699
2025-11-24,P01,82,83.85714285714286,64.29240053326566
2025-11-25,P01,68,85.71428571428571,65.0346221128562
2025-11-26,P01,71,86.42857142857143,63.8827480601035
2025-11-27,P01,60,88.57142857142857,65.5372582089433
2025-11-28,P01,83,84.28571428571429,67.79217687240676
2025-11-29,P01,97,82.0,90.80974939499492
2025-11-30,P01,72,79.14285714285714,90.0670469269292
2025-12-01,P01,60,76.14285714285714,63.26872110901872
2025-12-02,P01,101,73.0,95.2136192819526
2025-12-03,P01,95,77.71428571428571,100.4720935823436
2025-12-04,P01,107,81.14285714285714,104.7370651015651
2025-12-05,P01,89,87.85714285714286,103.78911151811151
2025-12-06,P01,84,88.71428571428571,95.77610809370361
2025-12-07,P01,71,86.85714285714286,93.77915752390305
2025-12-08,P01,49,86.71428571428571,63.92961213931488
2025-12-09,P01,65,85.14285714285714,60.53524406047404
2025-12-10,P01,65,80.0,65.20227082453924
2025-12-11,P01,47,75.71428571428571,63.37397801101436
2025-12-12,P01,69,67.14285714285714,64.36716487676902
2025-12-13,P01,99,64.28571428571429,73.89840733208455
2025-12-14,P01,92,66.42857142857143,81.47494607233372
2025-12-15,P01,70,69.42857142857143,62.928459441780895
2025-12-16,P01,61,72.42857142857143,64.07043503245919
2025-12-17,P01,54,71.85714285714286,64.9922168715857
2025-12-18,P01,53,70.28571428571429,59.55290272283694
2025-12-19,P01,74,71.14285714285714,63.854679881101376
2025-12-20,P01,91,71.85714285714286,85.10025663305686
2025-12-21,P01,148,70.71428571428571,105.16558890162126
2025-12-22,P01,79,78.71428571428571,96.01977800902806
2025-12-23,P01,58,80.0,65.76282420699862
2025-12-24,P01,64,79.57142857142857,61.347380654151735
2025-12-25,P01,62,81.0,64.2947353257177
2025-12-26,P01,49,82.28571428571429,64.32499423067206
2025-12-27,P01,69,78.71428571428571,85.09254528608648
2025-12-28,P01,57,75.57142857142857,82.66607070778504
2025-12-29,P01,42,62.57142857142857,54.95859243188997
2025-12-30,P01,49,57.285714285714285,56.0422420449625
2025-11-01,P02,56,68.0,71.88491708384352
2025-11-02,P02,55,65.14285714285714,73.8248966737771
2025-11-03,P02,46,59.57142857142857,57.21401322467152
2025-11-04,P02,39,53.142857142857146,45.99042636454067
2025-11-05,P02,58,51.142857142857146,48.709611976658316
2025-11-06,P02,68,52.142857142857146,43.75238642528842
2025-11-07,P02,38,53.285714285714285,57.62789880419188
2025-11-08,P02,78,51.42857142857143,53.16853180147361
2025-11-09,P02,68,54.57142857142857,67.34371443471984
2025-11-10,P02,59,56.42857142857143,45.87400388168596
2025-11-11,P02,54,58.285714285714285,41.3759172902305
2025-11-12,P02,35,60.42857142857143,49.121863579153484
2025-11-13,P02,39,57.142857142857146,41.95957025883552
2025-11-14,P02,63,53.0,48.046934895845254
2025-11-15,P02,97,56.57142857142857,70.51157451155082
2025-11-16,P02,32,59.285714285714285,68.99594825594451
2025-11-17,P02,59,54.142857142857146,42.020860317678526
2025-11-18,P02,72,54.142857142857146,65.27793659728232
2025-11-19,P02,74,56.714285714285715,65.86926286676288
2025-11-20,P02,49,62.285714285714285,61.66888324148619
2025-11-21,P02,112,63.714285714285715,71.55357066082067
2025-11-22,P02,58,70.71428571428571,72.99117316017316
2025-11-23,P02,63,65.14285714285714,69.08006673345677
2025-11-24,P02,35,69.57142857142857,52.74472134875629
2025-11-25,P02,35,66.14285714285714,43.42089131091688
2025-11-26,P02,53,60.857142857142854,42.28108624942046
2025-11-27,P02,46,57.857142857142854,43.74394403667139
2025-11-28,P02,68,57.42857142857143,52.47208168131272
2025-11-29,P02,85,51.142857142857146,57.48222263623643
2025-11-30,P02,76,55.0,59.054300797225416
2025-12-01,P02,51,56.857142857142854,49.363725318750944
2025-12-02,P02,67,59.142857142857146,44.78843507683419
